RUA H;NOVO MUNDO
RUA ALZIRO LEBRAO;ALTO DA PONTE
R HAITI;AMERICA
RUA SAO JOAO;SANTO ANTONIO
RUA RENATO FONSECA OLIVEIRA;COROA DO MEIO
RUA MARIA DO CARMO COSTA;JABOTIANA
AVENIDA HERMES FONTES;GRAGERU
RUA MAJOR AURELIANO;SANTOS DUMONT
RUA SEVERINO SIMONASSI;SAO JACINTO
RUA FIRMINO FONTES;ATALAIA
AV SAO JOAO BATISTA;PONTO NOVO
RUA ALAGOAS;JOSE CONRADO DE ARAU
RUA B;TERRA DURA
RUA PARAIBA;SIQUEIRA CAMPOS
RUA PROJETADA;AGROVILA
RUA ELENITA NERY GOMES;AEROPORTO
AV TRANCREDO NEVES;INACIO BARBOSA
RUA ALTAMIRA;INDUSTRIAL
SANTA TEREZINHA;CIDADE NOVA
AV EUCLIDES FIGUEIREDO;JAPAOZINHO
AVENIDA RADIALISTA JOSE DA SILVA LIMA;JARDIM CENTENARIO
RUA DOS NAUFRAGOS;MOSQUEIRO
RUA PRINCIPAL;JABOTIANA
RUA ANTONIO DOS SANTOS;PORTO DANTAS
RUA CAPITAO MANOEL GOMES;SANTOS DUMONT
AVENIDA CARLOS MARQUES;SOLEDADE
RUA SENHOR DO BOMFIM;SANTOS DUMONT
ROD JOAO ALVES BEZERRA;AREIA BRANCA
TV ADALTO BOTELHO;GETULIO VARGAS
AV LAMARAO;LAMARAO
RUA ALFREDO REGIS;CENTRO
AVENIDA VALE DAS PEDRINHAS;VALE DA PEDRINHAS
PRACA D PEDRO II CAMPO DA POLVORA;NAZARE
RUA FORTUNATO BENJAMIN SABACK;SETE PORTAS
SAO LUIS;CENTRO
RUA MARQUES DE MARICA;PAU MIUDO
RUA REINALDO DE MATOS;NORDESTE AMARALINA
SETOR E CAMINHO 16;MUSSURUNGA I
RUA PERNAMBUCO;TANCREDO NEVES
RUA DA FELICIA;SETE DE ABRIL
RUA JAIME SAPOLNIK;IMBUI
RUA DUARTE DA COSTA;BONFIM
RUA LOPES TROVAO;MASSARANDUBA
RUA A 3 ETAPA;CASTELO BRANCO
RUA JAIME VIEIRA LIMA;PAU DA LIMA
RUA DR ARMANDO COLAVOLPE;SANTA CRUZ
AVENIDA JJ SEABRA;BAIXA DOS SAPATEIROS
RUA JARDIM PAMPULHA;MATA ESCURA
RUA TOMAZ GONZAGA;PERNAMBUES
RUA MARIA PINHO;CALABAR
RUA MINISTRO APOLONIO SALES RUA D QUADRA D SETOR 2;CAJAZEIRAS X
RUA GENARO DE CARVALHO;CASTELO BRANCO
RUA MANOEL QUARESMA;BOCA DO RIO
RUA TANCREDO NEVES;BAIRRO DA PAZ
ROD ROCHA MOTONNEE;GUARAU
AV DORIVAL CAYME;ITAPOAN
RUA DAS PITANGUEIRAS;FAZ GRANDE DO RETIRO
RUA TOMAS GONZAGA;PERNAMBUES
RUA NELSON LACERDA;NOVA BRASILIA
RUA SATURNO;JAD MAURINOPOLIS
RUA QUINTINO BOCAIUVA;GARCIA
RUA DAS PAULINAS;DOM AVELAR
RUA JURUCUTUS;SABOEIRO
RUA DA HORTA;SARAMANDAIA
RUA ARAUJO BASTOS;PITUACU
RUA ALVARO DA FRANCA ROCHA CONJ CAJAZEIRAS IV;CAJAZEIRAS
PRACA SERGIO BRITO;ALTO COQUEIRINHO
RUA ANTONIA ROSA;FELIPE MANSUR
RUA DO COMERCIO;ARENOSO
RUA ALTO DA BOA VISTA;SAO CRISTOVAO
TRAVESSA DOIS DE JULHO;ALTO DE COUTOS
RUA JAQUEIRA DO CARNEIRO;FAZENDA GRANDE DO RE
PRACA MARECHAL RONDON;MARECHAL RONDON
2 TRAVESSA DO ORIENTE;ALTO DO PERU
RUA ALMIRANTE ALVES CAMARA;ENG VELHO DE BROTAS
AVENIDA CARDEAL DA SILVA;FEDERACAO
RUA PROFESSOR SUEIRO;PAU MIUDO
AV D JOAO VI PROXIMO AO BRADESCO E FBDC;BROTAS
RUA VOLUNTARIOS DA PATRIA;SANTA LUZIA DO LOBAT
RUA NOSSA SENHORA DE FATIMA;FEDERACAO
RUA FERNANDO PEDREIRA;BARREIRAS
RUA CLERISTON ANDRADE;CALABETAO
ESTRADA VELHA DO AEROPORTO;NOVO MAROTINHO
CONJ JOANES CENTRO OESTE QUADRA 18 LOTE 17;LOBATO
AV AFRANIO PEIXOTO;SAO BARTOLOMEU
RUA BOA ESPERANCA;ILHA AMARELA
RUA CAMPO DA BOLA;ALTO DO CRUZEIRO
RUA DIRETA DA ENGOMADEIRA;ENGOMADEIRA
RUA MARINA QUEIROZ;SUSSUARANA
RUA ENDEO NASCIMENTO;AGUAS CLARAS
ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS;TORROES
RUA SENADOR ANTONIO LEMOS;CENTRO
CENTRAL IV;SAO CONRADO
RUA 28 DE JANEIRO;SAUDADE
RUA FRANCISO PEREIRA DA SILVA;JADERLANDIA
RUA AUGUSTO MONTENEGRO;APEU
AGROVILA DE CASTELO BRANCO;AGROVILA C BRANCO
AGROVILA SANTA TEREZINHA;AGROVILA STEREZINHA
AGROVILA BACABAL;AGROVILA BACABAL
AGROVILA FRANCISCO CORREA;AGROVILA F CORREA
TV DA FLORESTA;SAUDADE
RUA MARIA GORETH;IANETAMA
RUA PEDRO PORPINO;SAO JOSE
AGROVILA MACAPAZINHO;AGROVILA MACAPAZINHO
AV BARAO DO RIO BRANCO;APEU
RUA ONZE;FONTE BOA
AL DAS ACACIAS;PROPIRA
AGROVILA CALUCIA;AGROVILA CALUCIA
AGROVILA 3 DE OUTUBRO;AGROVILA 3DE OUTUBRO
AV ANTONIO PAULINO;IRMA MARIA ZELIA
AVENIDA SAO JOSE;VIL SAO JOSE
RUA JOAO FLORENCIO FONTES;JARDIM ELVIRA
RUA THEOFILO MUNHOZ VAQUEIRO;JD NOVO OSASCO
PRACA MARIA JOSE DA SILVEIRA;JAD ROBERTO
R RIBEIRAO PIRES;VIL MENCK
AV DAS FLORES;JD DAS FLORES
RUA AMEIXEIRA;CIDADE DAS FLORES
AVN ANALICE SAKATAUSKAS;VIL ALIANCA
RUA AMADOR BUENO;JD PIRATININGA
RUA JOSE PATROCINIO;JAD VELOSO
RUA JOANA PEREIRA DIAS;PADROEIRA II
RUA SAO JORGE;VIL ISABEL
RUA GRANADA;VIL NOVA AYROSA
RUA JUSCELINO KUBITSCHEK DE OLIVEIRA;PORTAL DOESTE
RUA SANTO UBALDO;VIL DOS REMEDIOS
RUA CONCEICAO SIGLIANO;VIL YOLANDA
RUA JOSE ALBINO FREIXEDA;PRES ALTINO
AVENIDA DONA ZICA;CENTRO
RUA MAL EDGAR DE OLIVEIRA;VIL QUITAUNA
RUA PRF ADELAIDE ESCOBAR BUENO;MUNHOZ JR
RUA LUIS GATTI;JD BARONESA
RUA ANSELMO PEDRO DE MEDEIROS;CAMPESINA
RUA SERRA DO RONCADOR;JAD TRES MONTANHAS
AVENIDA CLOVIS ASSAF;VILA DA CONQUISTA
AV EXPEDITO IZIDIO DE ANDRADE;CJ DOS METALURGICOS
AVENIDA FFORD;PARANAPIACABA
RUA INGA;VILA LINDA
RUA CACONDE;VILA LUCINDA
RUA DAS FIGUEIRAS;CAMPESTRE
PRACA WALDEMAR SOARES;PARQUE DAS NACOES
RUA MARAGOGIPE;PARQUE JOAO RAMALHO
RUA BEZERRA DE MENEZES;CENTREVILLE
AVENIDA MICO LEAO DOURADO;RECREIO BORDA CAMPO
RUA OTAVIO MANGABEIRA;JARDIM ANA MARIA
RUA CAMPOS SALES;CENTRO
RUA JOSE RIBEIRO BASTOS;COLONIAL
AVENIDA TANCREDO NEVES;PQ NOVO HORIZONTE
PRACA ASSIS CHATEAUBRIAND;VILA TESOURO
RUA JOSE MENDONCA DA COSTA;BUQUIRINHA
PRACA CARIRI;CHACARAS REUNIDAS
RUA ESTADO DE ISRAEL;ILHA DO LEITE
RUA SUECIA;VILA LETONIA
ESTRADA DO BONSUCESSO;BONSUCESSO
RUA JOSE PEDRO;JARDIM NOVA DETROIT
RUA SENJU OTA;JARDIM ORIENTE
RUA JULIA CURSINO;JARDIM AMERICANO
RUA MIZAEL MARCAL;VILA TATETUBA
RUA PIRASSUNUNGA;JD DAS INDUSTRIAS
RUA DR JOAO GOMES BATISTA NETO;PARAISO DO SOL
RUA IBIRAJARA RAIMUNDO DE SOUZA;PARQUE INTERLAGOS
AVENIDA SAO NICOLAU;SAO JUDAS TADEU
RUA CANARIO;PASSARINHO
RUA TORDESILHA;SILVIA REGINA
RUA WILSON MANGINI MARQUES;MATA DO JACINTO
RUA SAO COSME E DAMIAO S N;JARDIM PAULISTA
RUA JOSE SOARES DE ARAUJO;BURITI
RUA DALILA SIQUEIRA;VILA POPULAR
RUA DOS NARCISOS;LAR DO TRABALHADOR
RUA DELMIRO GOUVEIA;VILA SERRADINHO
RUA JARDIM SANTO INACIO;BONANCA
RUA JI PARANA;INDUSTRIAL
RUA ANTONIO DE MORAES RIBEIRO;VILA NASSER
LINHA JUPIA;REASSENTAMENTO PROJE
AVENIDA MANOEL PADIAL;MARIA AP PEDROSSIAN
RUA DAVID CORREIA LEITE S N;COHAB
RUA ANTONIO LOPES;JOSE ABRAO
RUA DO HIPODROMO;JOCKEY CLUB
RUA JAGUARIUNA;CIDADE MORENA
RUA HAMLET;ESTRELA DO SUL
RUA IDA BAIS;NOVA LIMA
RUA FILOMENA SEGUNDO NASCIMENTO;JARDIM MONUMENTO
RUA ANA LUIZA DE SOUZA;PIONEIRA
AVENIDA DOS CAFEZAIS;JARDIM MACAUBAS
RUA TORQUARTO NETO;JD MARABA
SETOR D SUL AREA ESPECIAL N 23;TAGUATINGA SUL
QD 21 AREA ESPECIAL CONJUNTO 15;PARANOA
QS 408 AREA ESPECIAL 01;SAMAMBAIA NORTE
ENTRE QUADRAS 1 10 AREA ESPECIAL;PLANALTINA
EQ 217 317 LOTE E;SANTA MARIA
QN 429 CONJUNTO F LOTE;SAMAMBAIA NORTE
QN 512 CONJUNTO 2 LOTE;SAMAMBAIA SUL
AV W3 SUL EQS 514 515 SUL;ASA SUL
SGAN;ASA NORTE
EQN 114 115;ASA NORTE
SHCES QUADRA;CRUZEIRO NOVO
SRES LOTE;CRUZEIRO VELHO
QS 611 AREA ESPECIAL;SAMAMBAIA NORTE
CENTRO DE MULTIPLAS ATIVIDADES CONJ;CENTRO
QUADRA 307 AREA ESPECIAL 01 CONJUNTO D;RECANTO DAS EMAS
SHIS QI 21 23;LAGO SUL
EQ 6 12 AREAS ESPECIAIS;SETOR SUL GAMA
QUADRA;SETOR SUL
EQ 3 5 AREA ESPECIAL SETOR LESTE GAMA;GAMA
PRACA 3 AREA ESPECIAL N;GAMA DF
QUADRA 38 AREA ESPECIAL LESTE SC;GAMA
ENTRE QUADRA;SETOR OESTE
AREA ESPECIAL N 1 ESTADIO BEZERRAO SETOR CENTRAL;GAMA
QNG AREA ESPECIAL N 18 E19;TAGUATINGA NORTE
QND LOTE A PRACA DO BICALHO;TAGUATINGA NORTE
QNL 01 AREA ESPECIAL N 2 TAGUATINGA NORTE;TAGUATINGA NORTE
SETOR C SUL AREA ESPECIAL N 01;TAGUATINGA CENTRO
QNM 36 AREA ESPECIAL N;TAGUATINGA NORTE
AREA ESPECIAL;CEILANDIA DF
QNN 15 LOTE F;CEILANDIA NORTE
QNM 15 LOTE D AREA ESPECIAL;CEILANDIA SUL
QNN;CEILANDIA SUL
QNM 16 LOTE F AREA ESPECIAL;CEILANDIA NORTE
EQNP 10 14 LOTES E F G H;CEILANDIA
QNO 10 AREA ESPECIAL D E;SETOR O
EQNP 13 17 LOTES A B C D P NORTE;CEILANDIA NORTE
EQNP 28 32 LOTES A B C D;CEILANDIA SUL
EQNO 17 18 AREA ESPECIAL;EXPSANSAO SETOR O
SETOR HOSPITALAR AREA ESPECIAL S N;PLANALTINA
QI 06 AREA ESPECIAL LT A;GUARA I
3 AVENIDA AREA ESPECIAL N 3;NUCLEO BANDEIRANTE
QUADRA 102 AREA ESPECIAL;RECANTO DAS EMAS
SGAS QUADRA 612 LOTES;ASA SUL
QN 07 AREA ESPECIAL 09 RIACHO FUNDO I;RIACHO FUNDO
SHIN QI 3;LAGO NORTE
EQ 5 7 AREA ESPECIAL CANDANGOLANDIA;CANDANGOLANDIA
QNN 12 AREA ESPECIAL 1;CEILANDIA SUL
ENTRE QUADRA 6 8 AREA ESPECIAL 3 SETOR NORTE;SETOR NORTE
QD 14 AREA ESPECIAL 22 23;SOBRADINHO
QUADRA 3 AREA ESPECIAL ENTRE CONJUNTOS D E;SOBRADINHO
AR 13 AREA ESPECIAL CONJUNTO 7 LOTE;SOBRADINHO II
QE 23 AREA ESPECIAL;GUARA II
QE 38 AREA ESPECIAL;GUARA II
AVENIDA RUI BARBOSA;SANTANA
RUA PIAU ACAMPAMENTO PACHECO FERNANDES;VILA PLANALTO
DF 140 KM;SAO SEBASTIAO
FAZENDA ALMECEGAS BR DF 180 DF 205 KM 05;BRAZLANDIA
QUADRA 15 LOTE 02 LOJA 01 INCRA 08;INCRA 08
ROD DF 205 OESTE KM 13 NUCLEO RURAL;FERCAL
AE NOVO SETOR DE MANSOES NOVA COLINA;SOBRADINHO
NUCLEO RURAL RAJADINHA II RUA 2 LOTE 16 17;PLANALTINA
NUCLEO RURAL DE TABATINGA S N;PLANALTINA
NUCLEO RURAL PIPIRIPAU II AREA ESPECIAL;PLANALTINA
POSTO DE SAUDE RURAL JARDIM II DF 285 KM 19;PARANOA
DF 130 KM 56 QUEBRADA DOS NERES PARANOA;PARANOA
NUCLEO RURAL SAO JOSE AREA ESPECIAL;PLANALTINA
COLONIA AGRICOLA BR 251 KM 07;PARANOA
QE23 AREA ESPECIAL;GUARA I
AREA ESPECIAL S N RURAL VARGEM BONITA;PARK WAY
AV MAC MASCARENHAS DE MORAES;FORTE SAO JOAO
RUA ERNESTO BASSINI;SANTO ANTONIO
PRACA FABRICIO SOARES DA SILVA;SERRA VERDE
RUA FENELON GOMES;ILHA DO PRINCIPE
RUA ENGENHEIRO CESAR DANTAS;JABOUR
RUA LUCIDATO VIEIRA FALCAO;MORRO DO QUADRO
RUA BELMIRO TEIXEIRA PIMENTA;JARDIM CAMBURI
SERVIDAO ERNESTO CALIARI;CARATOIRA
AVENIDA BEIRA MAR;SAO PEDRO I
RUA NINA RODRIGUES;CENTRO
RUA SAO BARTOLOMEU;MORRO DO QUADRO
RUA PADRE LUIS KOESTER;BAIRRO DA PENHA
R ROSENDO SERAPIAO SOUZA FILHO;REPUBLICA
RUA DA CORAGEM;SANTO ANDRE
RUA JOAO BASTOS VIEIRA;ILHA DE SANTA MARIA
RUA DESEMBARGADOR OTAVIO DE CARVALHO LENGRUBER;CONSOLACAO
GRACIANO NEVES;CENTRO
RUA CAIS DE SAO FRANCISCO;CENTRO
ESTRADA VELHA DE MARICA;RIO DO OURO
LOTEAMENTO BENTO PESTANA;BALDEADOR
RUA VEREADOR JOSE VICENTE SOBRINHO;ENGENHOCA
RUA JANDIRA PEREIRA;SANTA BARBARA
ESTR ALCEBIADES PINTO;BADU
AVN PASTOR JOSE GOMES DE SOUZA;CARAMUJO
RUA ARAUJO PIMENTA;MORRO DO ESTADO
RUA CARLOS ERMELINO MARINS;JURUJUBA
RUA JORNALISTA SARDO FILHO;ILHA DA CONCEICAO
RUA VISCONDE URUGUAI;CENTRO
RUA ANTONIO RODRIGUES DIAS;CACHOEIRA
RUA ARAUCARIA;JARDIM ROMA
RUA PONTAL DO SUL;JARDIM GRAZIELE
RUA A;SAO CONRADO
ANTONIO STOCHEIRO;TRANQUEIRA
CESAR AUGUSTO FERRI;TANGUA
RUA WADISLAU BUGALSKI;LAMENHA
RUA L;PROFESSORA MARIA DAS
RUA GETULIO VARGAS;CENTRO
RUA SAO CAETANO;SAO CAETANO
RUA GETULIO VARGAS;CENTRO
RUA VEREADOR DOMINGOS POLETTO RIBEIRO;BUGRE
RUA PROFESSORA SABINA RICETO;SAO LUIZ DO PURUNA
DR JOAO CANDIDO;JARDIM DA CAMPINA
JULIO GUIDOLIM;JARDIM SANTA ROSA
JOSE ROMAGNANI;JARDIM PAULISTA
BR 116 KM 50;PAIOL DE BAIXO
RUA BELO HORIZONTE;VILA GLORIA
RUA IPE;JARDIM GUARANY
JOIL ANTONIO BASSO;BATEIAS
RUA JOSE FEDALTO;ITABOA
RUA MATO GROSSO;CARATUVA
MARIA IGNES SEGURO;BOTIATUVA
IZIDIO SANTO CRUZARA;FERRARIA
ESTRADA DE BATEIAS;FAZENDINHA
JOANIN STROPARO;CENTRO
TRES CORREGOS;TRES CORREGOS
RUA ALCEBIADES AFFONSO GUIMARAES;AGUAS CLARAS
ESTRADA DA SEREIA;RONDINHA
RUA CAMELIAS;BOA VISTA I
RUA SILVESTRE JAREK;CENTRO
ESTRADA PRINCIPAL TERRA BOA;TERRA BOA
ESTRADA PRINCIPAL DA CONCEICAO;CONCEICAO
ESTRADA PRINCIPAL DO RETIRO;RETIRO
RUA WANDERLEY DE SALES BARBOSA;MARILANDIA
RUA JUREMA POMPEU MIGUEL;JARDIM LURDES
RUA NELSON GUIMARAES MONTEIRO;JARDIM PAULISTA
R JUREMA POMPEU MIGUEL;JARDIM LURDES
RUA PICA PAU;COHAPAR
RUA MANOEL PEREIRA ESQ COM HILDA MENIN;JARDIM ALVORADA
RUA ANA TEODORO DE LIMA;JARDIM MODELO
RUA ROUXINOL;JARDIM TROPICAL I
RUA NOSSA SENHORA APARECIDA;VILA CANDIDA
RUA SAO JOSE;CENTRO
RUA VISCONDE DO RIO BRANCO;PIQUIRIVAI
RUA LEMOS DO PRADO;DAMFERI
RUA NELSON GUIMARAES DO PRADO;JARDIM PAULISTA
VILA ROBERTO BREZEZINSKI;RURAL
AV JUREMA POMPEU MIGUEL;JD LOUDES
RUA JOSE LEAL FONTOURA;CENTRO
RUA ANTONIO FRANCISCO SCROK;SAO GABRIEL
TRAVESSA LUDOVICO KLINDINGER;ATUBA
RUA ANGELO FALAVINHA DALPRA;JARDIM DAS GRACAS
RUA PREFEITO PIO ALBERTI;OSASCO
RUA LUDOVICO KACHEL;SAO DOMINGOS
RUA COLIBRI;JARDIM SANTA TEREZA
RUA PRESIDENTE FARIA;SAO DIMAS
RUA DESEMBARGADOR LAURO LOPES;CENTRO
RUA QUINZE DE NOVEMBRO;CATANDUVAS DO SUL
RUA MANOEL MARTINS DE ABREU;PRADO VELHO
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
